Year,Name,AcresBurned,Fire Size Rank,Cause,SOURCE_REPORTING_UNIT_NAME,DaysBurn,Discovery Month,Discovered DOY,Contained Month,Contained DOY,Latitude,Longitude,County,CountyIds,State,OWNER_DESCR,NOAA Station
2016,Soberanes Fire,132127.0,G,,,83.0,Jul,,Oct,287.0,36.45994,-121.89938,Monterey,27,CA,,USW00023259
2016,Erskine Fire,48019.0,G,,,18.0,Jun,,Jul,193.0,35.6115,-118.45628,Kern,15,CA,,USW00023155
2016,Chimney Fire,46344.0,G,,,24.0,Aug,,Sep,250.0,35.70595,-120.98316,San Luis Obispo,40,CA,,USW00093209
2016,Blue Cut Fire,36274.0,G,,,7.0,Aug,,Aug,236.0,34.30372,-117.49342,San Bernardino,36,CA,,USW00003102
2016,Gap Fire,33867.0,G,,,1.0,Aug,,Aug,241.0,41.851,-123.118,Siskiyou,47,CA,,USW00024283
2016,Rey Fire ,32606.0,G,,,28.0,Aug,,Sep,259.0,0.0,0.0,Santa Barbara,42,CA,,USW00023154
2016,Cedar Fire,29322.0,G,,,46.0,Aug,,Oct,275.0,35.7506,-118.5678,Kern,15,CA,,USW00023155
2016,Canyon Fire,12518.0,G,,,10.0,Sep,,Sep,271.0,34.63445,-120.54421,Santa Barbara,42,CA,,USW00023273
2016,Pilot Fire,8110.0,G,,,9.0,Aug,,Aug,229.0,34.28771,-117.27338,San Bernardino,36,CA,,USW00003102
2016,Border Fire,7609.0,G,,,11.0,Jun,,Jun,182.0,32.60729,-116.63028,San Diego,37,CA,,USW00003164
2016,Sherpa Fire,7474.0,G,,,27.0,Jun,,Jul,194.0,34.776,-119.643,Santa Barbara,42,CA,,USW00023190
2016,Mineral Fire,7050.0,G,,,9.0,Aug,,Aug,231.0,36.09974,-120.51057,Fresno,10,CA,,USW00093209
2016,Cold Fire,5731.0,G,,,10.0,Aug,,Aug,225.0,38.52513,-122.06788,Yolo,57,CA,,USW00093241
2016,Trailhead Fire,5646.0,G,,,20.0,Jun,,Jul,200.0,38.96741,-120.9375,El Dorado,"9,31",CA,,USW00023225
2016,Trailhead Fire,5646.0,G,,,20.0,Jun,,Jul,200.0,38.96741,-120.9375,Placer,"9,31",CA,,USW00023225
2016,Owens River Fire,5443.0,G,,,1.0,Sep,,Sep,262.0,37.75985,-118.95309,Inyo,14,CA,,USW00023157
2016,San Gabriel Complex (Formerly Fish & Reservoir Fires),5399.0,G,,,59.0,Jun,,Apr,113.0,0.0,0.0,Los Angeles,19,CA,,USW00023154
2016,Loma Fire,4474.0,F,,,8.0,Sep,,Sep,262.0,37.10632,-121.85318,Santa Clara,43,CA,,USW00023277
2016,Meadow Fire,4347.0,F,,,51.0,Oct,,Dec,354.0,35.984,-118.551,Tulare,54,CA,,USW00023155
2016,Clayton Fire,3929.0,F,,,13.0,Aug,,Aug,239.0,38.89741,-122.60664,Lake,17,CA,,USW00023213
2016,Metz Fire,3876.0,F,,,3.0,May,,May,146.0,36.38123,-121.20059,Monterey,27,CA,,USW00023233
2016,Roberts Fire,3712.0,F,,,2.0,May,,May,141.0,0.0,0.0,San Luis Obispo,40,CA,,USW00023154
2016,Curry Fire,2944.0,F,,,4.0,Jul,,Jul,187.0,36.0749,-120.452041,Fresno,10,CA,,USW00093209
2016,Pony Fire,2860.0,F,,,154.0,Jun,,Nov,313.0,41.623,-123.557,Siskiyou,47,CA,,USW00024283
2016,Clark Fire,2819.0,F,,,3.0,Aug,,Aug,220.0,0.0,0.0,Mono,26,CA,,USW00023154
2016,Soup Complex,2652.0,F,,,26.0,Sep,,Oct,287.0,41.2649,-120.3178,Modoc,25,CA,,USW00024257
2016,Willard Fire,2575.0,F,,,11.0,Sep,,Sep,266.0,40.3915,-120.7845,Lassen,18,CA,,USW00023225
2016,Coleman Fire,2520.0,F,,,16.0,Jun,,Jun,172.0,36.01542,-121.25029,Monterey,27,CA,,USW00093209
2016,Goose Fire,2241.0,F,,,10.0,Jul,,Aug,222.0,37.01591,-119.50507,Fresno,10,CA,,USW00093193
2016,Sacata Fire,2100.0,F,,,9.0,Oct,,Oct,294.0,36.94536,-119.25959,Fresno,10,CA,,USW00093193
2016,Deer Fire,1785.0,F,,,7.0,Jul,,Jul,190.0,35.20993,-118.72272,Kern,15,CA,,USW00023155
2016,Sawmill Fire,1547.0,F,,,4.0,Sep,,Sep,273.0,38.80017,-122.82895,Sonoma,49,CA,,USW00023213
2016,Bogart Fire,1470.0,F,,,3.0,Aug,,Sep,246.0,0.0,0.0,Riverside,33,CA,,USW00023154
2016,Dinosaur Fire,1246.0,F,,,1.0,Jun,,Jun,178.0,37.07147,-121.20155,Merced,24,CA,,USW00023277
2016,Roblar Fire,1245.0,F,,,9.0,Jul,,Jul,212.0,33.393,-117.35093,San Diego,37,CA,,USW00003154
2016,Sage Fire,1109.0,F,,,7.0,Jul,,Jul,198.0,34.36763,-118.57245,Los Angeles,19,CA,,USW00023130
2016,Marshes Fire,1080.0,F,,,8.0,Sep,,Oct,278.0,37.79635,-120.32484,Tuolumne,55,CA,,USW00023258
2016,Saddle Fire,850.0,E,,,7.0,Sep,,Sep,256.0,39.6871,-121.571,Butte,4,CA,,USW00093205
2016,Grade Fire,710.0,E,,,6.0,Aug,,Aug,243.0,41.7813,-122.611,Siskiyou,47,CA,,USW00024257
2016,Marina Fire,650.0,E,,,14.0,Jun,,Jul,191.0,37.97,-119.14,Mono,26,CA,,USW00023157
2016,Tully Fire,599.0,E,,,13.0,Aug,,Sep,248.0,41.28486,-123.82268,Humboldt,12,CA,,USW00024283
2016,Fort Fire,554.0,E,,,2.0,Jul,,Jul,192.0,34.913,118.9082,Kern,15,CA,,USW00024283
2016,99 Fire,550.0,E,,,1.0,Aug,,Aug,216.0,39.6708,-121.7192,Butte,4,CA,,USW00093205
2016,Range Fire,518.0,E,,,3.0,Aug,,Aug,242.0,35.2013,-118.7212,Kern,15,CA,,USW00023155
2016,Colyear Fire,464.0,E,,,4.0,Jun,,Jul,186.0,40.0353,-122.56939,Tehama,52,CA,,USW00024216
2016,Willow Fire,450.0,E,,,3.0,Aug,,Aug,244.0,38.1874,-120.6381,Calaveras,5,CA,,USW00023237
2016,Fiddler Fire,441.0,E,,,4.0,Jul,,Jul,194.0,40.36873,-122.72913,Shasta,45,CA,,USW00024257
2016,Tule Fire,395.0,E,,,78.0,Aug,,Nov,313.0,36.1648,-118.73906,Tulare,54,CA,,USW00053119
2016,Howard Fire,380.0,E,,,3.0,Sep,,Sep,258.0,41.4657,-120.9066,Modoc,25,CA,,USW00024257
2016,Rancho Fire,372.0,E,,,1.0,Jun,,Jun,181.0,38.385,-121.003611,Amador,3,CA,,USW00023232
2016,Pacheco Fire,341.0,E,,,4.0,Jul,,Jul,198.0,38.08056,-120.81394,Calaveras,5,CA,,USW00023237
2016,Appaloosa Fire,310.0,E,,,6.0,Jul,,Jul,190.0,38.02845,-120.61153,Calaveras,5,CA,,USW00023258
2016,Flat Fire,306.0,E,,,2.0,Sep,,Sep,265.0,0.0,0.0,Kern,15,CA,,USW00023154
2016,Creek Fire,277.0,D,,,1.0,Jun,,Jun,179.0,38.69971,-122.15457,Yolo,57,CA,,USW00093241
2016,Tobin Fire,248.0,D,,,10.0,Sep,,Oct,280.0,39.92,-121.32,Plumas,32,CA,,USW00024216
2016,King Fire ,237.0,D,,,3.0,Jun,,Jun,172.0,0.0,0.0,San Benito,35,CA,,USW00023154
2016,Onyx Fire,221.0,D,,,1.0,Jul,,Jul,196.0,35.68313,-118.21793,Kern,15,CA,,USW00093104
2016,Washington Fire,215.0,D,,,5.0,Sep,,Sep,271.0,34.75134,-120.55297,Santa Barbara,42,CA,,USW00023273
2016,Reservoir Fire,215.0,D,,,2.0,Jun,,Jun,180.0,39.12366,-122.50373,Lake,17,CA,,USW00023275
2016,Grant Fire,211.0,D,,,1.0,Jun,,Jun,178.0,37.74369,-121.58677,Alameda,1,CA,,USW00023285
2016,Camanche Fire,210.0,D,,,4.0,Jun,,Jun,173.0,38.26874,-120.90265,Amador,3,CA,,USW00023237
2016,Big Fire,188.0,D,,,2.0,Jul,,Jul,195.0,36.92244,-119.39619,Fresno,10,CA,,USW00093193
2016,Emerald Fire,176.0,D,,,3.0,Oct,,Oct,291.0,38.93449,-120.10744,El Dorado,9,CA,,USW00093230
2016,Briggs Fire,173.0,D,,,3.0,Jul,,Jul,197.0,0.0,0.0,Riverside,33,CA,,USW00023154
2016,Athens Fire,169.0,D,,,2.0,May,,May,140.0,38.8390117,-121.3090268,Placer,31,CA,,USW00093205
2016,Sunny Fire,158.0,D,,,3.0,Sep,,Sep,250.0,36.84479,-119.34487,Fresno,10,CA,,USW00093193
2016,Wheatland Fire,156.0,D,,,2.0,May,,May,146.0,34.276,-118.354,Los Angeles,19,CA,,USW00023152
2016,Hills Fire,151.0,D,,,1.0,Apr,,Apr,120.0,0.0,0.0,Fresno,10,CA,,USW00023154
2016,Old Fire,150.0,D,,,4.0,Sep,,Sep,261.0,37.75972,-120.029626,Del Norte,8,CA,,USW00023257
2016,Holy Fire,150.0,D,,,5.0,Aug,,Sep,249.0,33.6542,-117.5221,Orange,30,CA,,USW00093184
2016,Frame Fire,145.0,D,,,3.0,Jul,,Jul,189.0,36.14161,-120.62048,Fresno,10,CA,,USW00093209
2016,Temecula Fire,139.0,D,,,3.0,Jun,,Jun,159.0,33.476894,-117.140883,Riverside,33,CA,,USW00003154
2016,Famoso Fire,138.0,D,,,1.0,Jul,,Jul,198.0,35.60748,-118.94811,Kern,15,CA,,USW00023155
2016,Avocado Fire,132.0,D,,,2.0,May,,May,138.0,36.78769,-119.38248,Fresno,10,CA,,USW00093193
2016,Bangor Fire,130.0,D,,,1.0,Sep,,Sep,267.0,39.4403,-121.42647,Butte,4,CA,,USW00093205
2016,Green Fire,123.0,D,,,1.0,Jul,,Jul,198.0,37.0099,-119.5792,Fresno,10,CA,,USW00093193
2016,Rock Creek Fire,122.0,D,,,2.0,Aug,,Aug,220.0,0.0,0.0,Mono,26,CA,,USW00023154
2016,Coe Fire,120.0,D,,,2.0,Jun,,Jun,161.0,37.17072,-121.42238,Stanislaus,50,CA,,USW00023277
2016,Sierra Fire,114.0,D,,,1.0,Jul,,Jul,213.0,37.41896,-121.79669,Santa Clara,43,CA,,USW00023293
2016,Broken Fire,103.0,D,,,2.0,Jul,,Jul,188.0,37.25601,-119.65776,Madera,20,CA,,USW00093242
2016,Bailey Fire,100.0,D,,,1.0,Aug,,Aug,231.0,0.0,0.0,Santa Clara,43,CA,,USW00023154
2016,Hart Fire,100.0,D,,,3.0,Aug,,Aug,220.0,35.24504,-118.60344,Kern,15,CA,,USW00023155
2016,Diablo Fire,100.0,D,,,1.0,Aug,,Aug,217.0,0.0,0.0,Stanislaus,50,CA,,USW00023154
2016,Bradley Fire,100.0,D,,,1.0,Jul,,Jul,205.0,35.85093,-120.81081,Monterey,27,CA,,USW00093209
2016,Feather Fire,100.0,D,,,2.0,Jul,,Jul,202.0,32.9612,-116.7945,San Diego,37,CA,,USW00053120
2016,Santos Fire,88.0,C,,,4.0,Aug,,Aug,243.0,39.79547,-121.71662,Butte,4,CA,,USW00024216
2016,Scott Fire,87.0,C,,,1.0,Jul,,Jul,193.0,38.517772,-121.103642,Sacramento,34,CA,,USW00023232
2016,Frazier Fire,86.0,C,,,2.0,Jun,,Jun,181.0,35.70821,-120.82266,San Luis Obispo,40,CA,,USW00093209
2016,Grub Fire,85.0,C,,,2.0,Aug,,Aug,219.0,37.3228,-119.7738,Madera,20,CA,,USW00093242
2016,Tulloch Fire,85.0,C,,,2.0,May,,Jun,153.0,37.927613,-120.528836,Tuolumne,55,CA,,USW00023258
2016,Cheyenne Fire,83.0,C,,,1.0,Jun,,Jun,168.0,0.0,0.0,Calaveras,5,CA,,USW00023154
2016,Baker Fire,80.0,C,,,1.0,Aug,,Aug,217.0,40.19611,-122.26736,Tehama,52,CA,,USW00024216
2016,Serpa Fire,80.0,C,,,4.0,Jul,,Jul,207.0,0.0,0.0,Madera,20,CA,,USW00023154
2016,Sherwood Fire,78.0,C,,,2.0,Jul,,Jul,197.0,36.92244,-119.39619,Ventura,56,CA,,USW00093193
2016,Lake Fire,75.0,C,,,2.0,Sep,,Sep,256.0,40.68192,-122.4096,Shasta,45,CA,,USW00024257
2016,Newmark Fire,70.0,C,,,1.0,Sep,,Sep,268.0,36.6543,-119.5327,Fresno,10,CA,,USW00093193
2016,Arroyo Fire,70.0,C,,,2.0,Jun,,Jun,172.0,36.2833,-121.3306,Monterey,27,CA,,USW00023233
2016,Pala Fire,70.0,C,,,7.0,May,,Jun,159.0,33.41639,-117.08829,San Diego,37,CA,,USW00003154
2016,Foothill Fire,69.0,C,,,3.0,Jul,,Jul,204.0,39.0863,-122.7891,Lake,17,CA,,USW00023275
2016,Creek Fire,65.0,C,,,2.0,Oct,,Oct,286.0,38.40958,-122.43172,Napa,28,CA,,USW00093227
2016,Cotton Fire,61.0,C,,,1.0,Jun,,Jun,164.0,35.77135,-120.251,Kern,15,CA,,USW00093209
2016,Baker Fire,57.0,C,,,1.0,Jul,,Jul,204.0,37.98171,-120.64241,Calaveras,5,CA,,USW00023258
2016,Mill Fire,56.0,C,,,2.0,May,,May,142.0,0.0,0.0,Siskiyou,47,CA,,USW00023154
2016,Lowe Fire,52.0,C,,,1.0,Jun,,Jun,176.0,36.1934,-120.9293,Monterey,27,CA,,USW00093209
2016,Ruff Fire ,50.0,C,,,5.0,Sep,,Sep,259.0,39.7299,-123.5044,Mendocino,23,CA,,USW00023275
2016,Spring Fire,50.0,C,,,2.0,Sep,,Sep,253.0,34.3183,-117.3189,San Bernardino,36,CA,,USW00003102
2016,Storksbill Fire,50.0,C,,,1.0,Jul,,Jul,205.0,38.79549,-121.00299,El Dorado,9,CA,,USW00023232
2016,Casitas Fire,50.0,C,,,2.0,Apr,,Apr,121.0,0.0,0.0,Ventura,56,CA,,USW00023154
2016,Auburn Fire,47.0,C,,,3.0,Sep,,Sep,264.0,39.20427,-121.05948,Nevada,29,CA,,USW00023225
2016,Laguna Fire,47.0,C,,,3.0,Jun,,Jun,181.0,33.57872,-117.77395,Orange,30,CA,,USW00093184
2016,Bell Fire,45.0,C,,,2.0,Sep,,Sep,269.0,38.5212,-120.8416,Amador,3,CA,,USW00023232
2016,Kugelman Fire,45.0,C,,,1.0,Aug,,Aug,223.0,36.09974,-120.51057,Lake,17,CA,,USW00093209
2016,Walker Fire,43.0,C,,,5.0,May,,Jun,156.0,0.0,0.0,Kern,15,CA,,USW00023154
2016,Dockery Fire,42.0,C,,,2.0,Jul,,Aug,214.0,0.0,0.0,Lassen,18,CA,,USW00023154
2016,Boys Fire,40.0,C,,,1.0,Sep,,Sep,256.0,38.558,-121.1309,Sacramento,34,CA,,USW00023232
2016,Evergreen Fire,40.0,C,,,1.0,Aug,,Aug,242.0,0.0,0.0,Riverside,33,CA,,USW00023154
2016,Phoenix Fire,38.0,C,,,114.0,Sep,,Dec,365.0,39.39051,-120.51887,Nevada,29,CA,,USW00023225
2016,Fork Fire,38.0,C,,,2.0,Jul,,Jul,213.0,37.24006,-119.4741,Madera,20,CA,,USW00093193
2016,Mina Fire,36.0,C,,,1.0,Aug,,Aug,244.0,39.8748511,-123.4267011,Mendocino,23,CA,,USW00023275
2016,Knoxville Fire,36.0,C,,,1.0,Aug,,Aug,223.0,38.68403,-122.26015,Lake,17,CA,,USW00093241
2016,Gopher Fire,35.0,C,,,1.0,Aug,,Aug,224.0,33.22558,-117.14547,San Diego,37,CA,,USW00003177
2016,Mountain Fire,35.0,C,,,1.0,Aug,,Aug,223.0,40.61213,-122.47091,Shasta,45,CA,,USW00024257
2016,Neal Fire,35.0,C,,,1.0,Jul,,Jul,211.0,0.0,0.0,Butte,4,CA,,USW00023154
2016,Stagecoach Fire,35.0,C,,,1.0,Jul,,Jul,195.0,37.96311,-120.67335,Calaveras,5,CA,,USW00023258
2016,Campo Fire,33.0,C,,,3.0,Jun,,Jun,182.0,38.22017,-120.8678,Calaveras,5,CA,,USW00023237
2016,Moffett Fire,32.0,C,,,1.0,Sep,,Sep,257.0,41.6314,-122.7933,Siskiyou,47,CA,,USW00024257
2016,Frymire Fire,32.0,C,,,2.0,Jul,,Aug,214.0,37.81434,-120.69521,Tuolumne,55,CA,,USW00023258
2016,Old Fire,30.0,C,,,3.0,Sep,,Sep,263.0,39.8851,-121.6998,Butte,4,CA,,USW00024216
2016,Lone Pine Fire,30.0,C,,,1.0,Jul,,Jul,184.0,36.58972,-118.15589,Inyo,14,CA,,USW00023157
2016,Gopher Fire,28.0,C,,,1.0,Nov,,Nov,319.0,33.254355,-117.158475,San Diego,37,CA,,USW00003177
2016,Rock Fire,28.0,C,,,2.0,Jul,,Jul,206.0,33.00056,-116.9571,San Diego,37,CA,,USW00053120
2016,Deer Fire,26.0,C,,,1.0,Aug,,Aug,219.0,38.2581,-120.8657,Amador,3,CA,,USW00023237
2016,Bailey Fire,26.0,C,,,1.0,Jul,,Jul,202.0,41.96191,-122.59328,Siskiyou,47,CA,,USW00024257
2016,Oak Fire,25.0,C,,,1.0,Sep,,Sep,246.0,37.11831,-121.69784,Santa Clara,43,CA,,USW00023277
2016,Oak Fire,25.0,C,,,2.0,Aug,,Aug,227.0,37.06531,-121.68577,Santa Clara,43,CA,,USW00023277
2016,Alder Fire,25.0,C,,,1.0,Aug,,Aug,220.0,0.0,0.0,El Dorado,9,CA,,USW00023154
2016,North Branch Extension Fire,25.0,C,,,2.0,Jul,,Jul,213.0,0.0,0.0,Lake,17,CA,,USW00023154
2016,Aukum Fire,25.0,C,,,1.0,Jun,,Jun,156.0,38.64107,-120.6955,El Dorado,9,CA,,USW00093230
2016,Keswick Fire,24.0,C,,,1.0,Jun,,Jun,164.0,40.61388,-122.46777,Shasta,45,CA,,USW00024257
2016,Stafford Fire,23.0,C,,,5.0,Aug,,Aug,229.0,40.4572,-124.05804,Humboldt,12,CA,,USW00024213
2016,Table Fire,23.0,C,,,1.0,Jul,,Jul,204.0,41.71847,-122.36924,Siskiyou,47,CA,,USW00024257
2016,Summit Fire,21.0,C,,,7.0,Aug,,Aug,232.0,40.9878,-123.77832,Humboldt,12,CA,,USW00024283
2016,Ken Fire,20.0,C,,,1.0,Sep,,Sep,248.0,34.25858,-117.4415,San Bernardino,36,CA,,USW00003102
2016,Mockingbird Fire,20.0,C,,,1.0,Aug,,Aug,244.0,39.1408865,-122.9148951,Lake,17,CA,,USW00023275
2016,Edison Fire,20.0,C,,,1.0,May,,May,134.0,0.0,0.0,Ventura,56,CA,,USW00023154
2016,Willow Fire,19.0,C,,,1.0,Aug,,Aug,244.0,0.0,0.0,Amador,3,CA,,USW00023154
2016,Shelter Fire,15.0,C,,,1.0,Jul,,Jul,194.0,33.11645,-116.58542,Ventura,56,CA,,USW00053120
2016,Collier Fire,11.0,C,,,1.0,Jul,,Jul,208.0,0.0,0.0,Tehama,52,CA,,USW00023154
2016,Jacobson Fire,10.0,C,,,60.0,Oct,,Dec,354.0,36.217,-118.551,Tulare,54,CA,,USW00093104
2016,Mokelumne Fire,0.0,A,,,12.0,Aug,,Aug,243.0,38.57554,-120.00606,Alpine,2,CA,,USW00093230
2016,Sand Fire,0.0,A,,,18.0,Jul,,Aug,222.0,0.0,0.0,Los Angeles,19,CA,,USW00023154
2016,Soda Fire,0.0,A,,,15.0,Jun,,Jun,171.0,35.01382,-119.58206,San Luis Obispo,40,CA,,USW00023155
2016,Old Fire,0.0,A,,,9.0,Jun,,Jun,165.0,0.0,0.0,Los Angeles,19,CA,,USW00023154
2016,Chimney Fire,0.0,A,,,18.0,Jun,,Jun,171.0,35.84883,-118.08591,Tulare,54,CA,,USW00093104
2017,Thomas Fire,281893.0,G,,,265.0,Dec,,Mar,73.0,34.41521,-119.09124,Santa Barbara,"42,56",CA,,USW00023136
2017,Thomas Fire,281893.0,G,,,265.0,Dec,,Mar,73.0,34.41521,-119.09124,Ventura,"42,56",CA,,USW00023136
2017,Long Valley Fire,83733.0,G,,,183.0,Jul,,Jan,9.0,40.07045,-120.14013,Lassen,18,CA,,USW00023185
2017,Modoc July Complex,83120.0,G,,,196.0,Jul,,Jan,9.0,0.0,0.0,Modoc,25,CA,,USW00023154
2017,Detwiler Fire,81826.0,G,,,188.0,Jul,,Jan,9.0,37.61757,-120.21321,Mariposa,22,CA,,USW00023257
2017,Eclipse Complex,78698.0,G,,,218.0,Aug,,Jan,9.0,41.841,-123.474,Siskiyou,47,CA,,USW00024283
2017,Nuns / Adobe / Norrbom/ Pressley / Partrick Fires / Oakmont (Central LNU Complex),56556.0,G,,,241.0,Oct,,Feb,40.0,38.4041,-122.5209,Napa,"28,49",CA,,USW00023213
2017,Nuns / Adobe / Norrbom/ Pressley / Partrick Fires / Oakmont (Central LNU Complex),56556.0,G,,,241.0,Oct,,Feb,40.0,38.4041,-122.5209,Sonoma,"28,49",CA,,USW00023213
2017,Atlas Fire (Southern LNU Complex),51624.0,G,,,241.0,Oct,,Feb,40.0,38.39206,-122.24367,Napa,"28,48",CA,,USW00093227
2017,Atlas Fire (Southern LNU Complex),51624.0,G,,,241.0,Oct,,Feb,40.0,38.39206,-122.24367,Solano,"28,48",CA,,USW00093227
2017,Garza Fire,48889.0,G,,,181.0,Jul,,Jan,9.0,35.93273,-120.20014,Kings,16,CA,,USW00093209
2017,Miller Complex,39715.0,G,,,217.0,Aug,,Jan,9.0,42.039,-123.218,Siskiyou,47,CA,,USW00024283
2017,Tubbs Fire (Central LNU Complex),36807.0,G,,,241.0,Oct,,Feb,40.0,38.60895,-122.62879,Napa,"28,49",CA,,USW00023213
2017,Tubbs Fire (Central LNU Complex),36807.0,G,,,241.0,Oct,,Feb,40.0,38.60895,-122.62879,Sonoma,"28,49",CA,,USW00023213
2017,Pier Fire,36556.0,G,,,232.0,Aug,,Jan,9.0,36.15356,-118.74103,Tulare,54,CA,,USW00053119
2017,Redwood Valley Fire (Mendocino Lake Complex),36523.0,G,,,241.0,Oct,,Feb,40.0,39.24873,-123.16635,Mendocino,23,CA,,USW00023275
2017,Alamo Fire,28687.0,G,,,178.0,Jul,,Jan,9.0,35.0179,-120.3223,San Luis Obispo,40,CA,,USW00023273
2017,Orleans Complex,27276.0,G,,,198.0,Jul,,Jan,9.0,41.59,-123.501,Siskiyou,47,CA,,USW00024283
2017,Helena - Fork Fire,21846.0,G,,,233.0,Aug,,Jan,9.0,40.76025,-123.10003,Trinity,53,CA,,USW00024257
2017,Lion Fire,18900.0,G,,,261.0,Sep,,Jan,9.0,36.27138,-118.48555,Tulare,54,CA,,USW00093104
2017,R-4 Fire,18618.0,G,,,233.0,Aug,,Jan,9.0,40.69573,-119.93499,Lassen,18,CA,,USW00024172
